date,year,month,day,open,close,high,low,volume,money,rt,rv,rk,rk2
2011/8/25,2011,8,25,1017.01,1032.49,1033.12,1010.93,310783900,3995222457,0.54091757,0.29259182,9.96E-05,5.50E-05
2011/8/26,2011,8,26,1029.08,1032.38,1034.66,1025.83,249930600,3238087920,0.65143592,0.42436876,4.42E-05,2.73E-05
2011/8/29,2011,8,29,1026.31,1019.16,1027.32,1018.96,229368000,3234334876,-0.4206767,0.17696894,4.98E-05,3.43E-05
2011/8/30,2011,8,30,1025.97,1012.17,1034.03,1011.9,236943600,3367203937,-0.6025099,0.36301824,0.000101,4.43E-05
2011/8/31,2011,8,31,1012.27,1007.48,1017.08,999.93,173287200,2271478728,-0.7898228,0.62382012,0.00011714,4.74E-05
2011/9/1,2011,9,1,1010.08,1002.29,1014.83,999.9,171766400,2148478391,-0.4302968,0.1851554,8.96E-05,4.90E-05
2011/9/2,2011,9,2,1000.59,991.58,1003.66,987.31,166106200,2100696696,-0.8028013,0.64448999,0.00011399,5.15E-05
2011/9/5,2011,9,5,983.63,966.45,983.63,965.78,176667100,2203733204,-1.5076767,2.27308926,7.38E-05,4.88E-05
2011/9/6,2011,9,6,962.57,961.91,970.66,958.35,156454800,1867078764,-0.9697326,0.94038136,5.91E-05,3.90E-05
2011/9/7,2011,9,7,967.31,981.39,981.39,963.12,168511000,2042866047,0.84093062,0.70716432,0.00011865,5.47E-05
2011/9/8,2011,9,8,986.04,976.9,988.87,976.47,187188100,2387675562,0.4284432,0.18356358,6.77E-05,3.40E-05
2011/9/9,2011,9,9,977.82,972.46,985.18,969.87,149630900,1827278686,-0.6022786,0.36273956,5.69E-05,3.08E-05
2011/9/13,2011,9,13,958.12,955.91,959.94,951.51,169437800,1981683925,-0.9841911,0.96863213,4.64E-05,4.14E-05
2011/9/14,2011,9,14,958.42,961.4,962.4,941.91,152417400,1876360270,0.14842119,0.02202885,0.00021827,9.34E-05
2011/9/15,2011,9,15,961.98,959.19,967.91,958.59,143530200,1865455913,0.03487745,0.00121643,4.71E-05,2.59E-05
2011/9/16,2011,9,16,962.67,957.36,967.43,955.76,143980900,1850731482,-0.2090764,0.04371298,2.38E-05,1.59E-05
2011/9/19,2011,9,19,954.78,939.87,954.78,939.34,132881500,1636109364,-1.040965,1.08360824,3.71E-05,2.32E-05
2011/9/20,2011,9,20,937.95,941.8,946.73,932.78,132834100,1695636456,-0.5944627,0.3533859,0.00011827,6.75E-05
2011/9/21,2011,9,21,943.49,971.95,973.84,941,276766800,3488015063,1.54642363,2.39142606,0.00029391,0.00015773
2011/9/22,2011,9,22,964.63,944.74,968.57,944.05,222187800,2800531493,0.05750021,0.00330627,9.75E-05,5.77E-05
2011/9/23,2011,9,23,931.26,940.6,943.64,927.16,188064600,2229062904,-1.0955789,1.20029333,0.00020484,0.00011454
2011/9/26,2011,9,26,934.94,928.59,944.45,926.49,145699500,1714690477,-0.1246946,0.01554876,6.27E-05,3.82E-05
2011/9/27,2011,9,27,933.76,935.63,938.54,927.14,133323900,1724479205,0.03203977,0.00102654,6.98E-05,4.44E-05
2011/9/28,2011,9,28,941.43,930.57,948.32,927.01,203110600,2490316398,-0.1486218,0.02208845,9.20E-05,5.21E-05
2011/9/29,2011,9,29,925.25,922.69,933.44,920.34,242564900,2810059180,-0.8732219,0.76251662,0.00014362,8.13E-05
2011/9/30,2011,9,30,924.43,918.66,926.84,912.12,189845700,2215626636,-0.3104286,0.09636597,0.00011909,5.80E-05
2011/10/3,2011,10,10,920.86,916.08,923.62,913.37,156785600,1808566389,-0.3940629,0.15528559,4.34E-05,3.53E-05
2011/10/4,2011,10,11,934.32,915.29,940.26,907.62,204067100,2356190328,-0.2634891,0.06942651,0.0001307,7.49E-05
2011/10/5,2011,10,12,912.39,943.36,944.03,905.05,326998000,3847977472,0.4181812,0.17487552,0.00034424,0.00015212
2011/10/6,2011,10,13,941.94,948.81,952.28,937.87,292592300,3621164396,1.69987366,2.88957047,0.00010402,5.63E-05
2011/10/7,2011,10,14,946.5,939.4,946.54,932.43,182065800,2534165864,-0.1172684,0.01375187,9.51E-05,4.91E-05
2011/10/10,2011,10,17,941.79,937.54,946.5,932.98,164105900,2173201379,-0.4130812,0.17063611,6.60E-05,3.90E-05
2011/10/11,2011,10,18,931.75,908.84,931.75,908.29,231672400,2786794033,-1.5466641,2.39217006,0.00012472,5.96E-05
2011/10/12,2011,10,19,910.65,901.75,914.9,901.07,182816900,2306089161,-1.421325,2.02016487,0.00014982,7.67E-05
2011/10/13,2011,10,20,897.24,878.86,897.28,870.47,227327900,2649958816,-1.5431793,2.38140243,0.00019011,0.00011525
2011/10/14,2011,10,21,876.94,867.28,882.53,866.96,155756700,1844886610,-1.4749295,2.17541711,0.00012801,7.02E-05
2011/10/17,2011,10,24,868.53,881.09,881.25,857.06,195807200,2255640164,0.20503921,0.04204107,0.00028373,0.00011809
