date,open,close,high,low,volume,money,rt1,year,month,day,rk,rt,rv,rk_twoscale
2011/3/3,1378.5,1362.48,1385.89,1361.62,2302714300,36518112363,-0.005262473,2011,3,3,1.08E-04,-0.5262473,0.276936221,5.78E-05
2011/3/4,1364.53,1381.28,1381.44,1359.89,1741567100,27597642757,0.005951588,2011,3,4,9.69E-05,0.5951588,0.354213997,4.56E-05
2011/3/7,1389.25,1400.77,1403.05,1389.25,2194775200,34925659473,0.006085108,2011,3,7,1.41E-04,0.6085108,0.370285394,6.52E-05
2011/3/8,1401.72,1409.1,1409.75,1398.36,1739753800,27354470114,0.002574983,2011,3,8,1.95E-04,0.2574983,0.066305375,9.46E-05
2011/3/9,1411.94,1410.78,1416.42,1403.79,1690167200,25628559464,0.000517479,2011,3,9,8.20E-05,0.0517479,0.002677845,5.33E-05
2011/3/10,1408.8,1392.74,1408.8,1392.31,1648230300,26889160811,-0.005589245,2011,3,10,1.89E-04,-0.5589245,0.312396597,1.17E-04
2011/3/11,1385.66,1383.19,1401.31,1380.13,1455072200,21862720189,-0.002988208,2011,3,11,3.36E-04,-0.2988208,0.089293871,1.69E-04
2011/3/14,1377.75,1394.26,1394.52,1377.69,1306747800,20452926141,0.003461928,2011,3,14,2.83E-04,0.3461928,0.119849455,1.15E-04
2011/3/15,1387.1,1374.09,1387.1,1345.88,1932811700,31614754150,-0.006328589,2011,3,15,4.92E-04,-0.6328589,0.400510387,3.41E-04
2011/3/16,1373.43,1392.3,1392.34,1370.39,1546520300,26670113900,0.005717644,2011,3,16,2.23E-04,0.5717644,0.326914529,1.01E-04
2011/3/17,1379.21,1371.62,1392.03,1365.74,1819791300,31026438660,-0.006499014,2011,3,17,2.99E-04,-0.6499014,0.42237183,1.27E-04
2011/3/18,1382.33,1380.7,1386.81,1374.68,1539387800,25927520936,0.002865516,2011,3,18,2.28E-04,0.2865516,0.082111819,1.03E-04
2011/3/21,1381.03,1369.38,1384.71,1364.05,1373780100,22386276041,-0.003575344,2011,3,21,1.11E-04,-0.3575344,0.127830847,7.12E-05
2011/3/22,1370.82,1367.87,1373.55,1350.44,1208753300,19483043409,-0.000479156,2011,3,22,6.78E-05,-0.0479156,0.002295905,2.65E-05
2011/3/23,1367.12,1387.51,1388.59,1364.38,1575434000,24359968163,0.006191297,2011,3,23,1.76E-04,0.6191297,0.383321585,9.14E-05
2011/3/24,1387.49,1382.72,1391.05,1381.93,1358961200,20794958072,-0.001501877,2011,3,24,2.82E-04,-0.1501877,0.022556345,1.32E-04
2011/3/25,1384.22,1396.97,1400.4,1381.53,1766475400,27213283454,0.004452835,2011,3,25,1.33E-04,0.4452835,0.198277395,6.93E-05
2011/3/28,1401.91,1394.78,1409.26,1392.52,1814755300,28506649615,-0.000681368,2011,3,28,1.50E-04,-0.0681368,0.004642624,6.33E-05
2011/3/29,1392.31,1375.77,1394.97,1374.14,1944799400,30031277429,-0.005959876,2011,3,29,7.34E-05,-0.5959876,0.355201219,3.72E-05
